,Bikolano,Cebuano,Chavacano,English,Ilokano,Ilonggo,Ivatan,Kapampangan,Mansaka,Pangasinan,Romblomanon,Spanish,Tagalog,Tausug,Waray,Yami
Bikolano,100.0,82.25917429853968,70.78573288134606,71.40319606228508,78.10269291600399,81.44105253024246,76.72732682020633,79.92671424296292,77.5409508922037,79.50933971894462,80.00120236159135,70.37530421731655,83.01621669212443,74.91744673121973,82.74982266874483,73.24979382408718
Cebuano,82.25917429853968,100.0,71.88022647704842,71.84948052221084,78.07838290138149,84.59655500557749,75.86205289556885,80.1259318962086,78.4529173813927,79.26255986303117,81.52441853856844,70.32187367709646,82.03143884108408,76.58419068009711,84.77920271482799,73.64718517777436
Chavacano,70.78573288134606,71.88022647704842,100.0,78.7038757442462,74.57399550807241,76.67424738221277,77.81096599940095,77.81429280197679,75.09410413525019,75.95439654549992,77.44411944658577,85.03023453908239,76.31961483452946,66.55608203655767,76.8538385563934,69.19716080098227
English,71.40319606228508,71.84948052221084,78.7038757442462,100.0,69.61856666094728,71.15596152187155,69.74707720217276,73.47470272640972,67.45853760467558,71.90972667986904,69.29058795351075,73.93132260178831,71.6321698920225,62.568630393624865,70.79898482361438,65.6139994973598
Ilokano,78.10269291600399,78.07838290138149,74.57399550807241,69.61856666094728,100.0,75.70894198042139,73.16154374130154,75.3054654707602,73.55390065032464,76.70976225327318,74.28288214574435,67.61149050935728,76.4414857536383,72.27569707647739,76.15468262748354,71.31929407078111
Ilonggo,81.44105253024246,84.59655500557749,76.67424738221277,71.15596152187155,75.70894198042139,100.0,74.86333792098034,79.57330536169832,78.19172693241275,78.66417921937396,82.40126392722684,69.71637274566514,81.50495494153795,77.04093225873656,83.44872553578223,72.51490467468484
Ivatan,76.72732682020633,75.86205289556885,77.81096599940095,69.74707720217276,73.16154374130154,74.86333792098034,100.0,76.06078562564396,75.86095514724322,77.25804441473613,76.249649236134,69.71103805221642,76.27709517669462,71.75356758541349,76.37977917253586,79.15712753969062
Kapampangan,79.92671424296292,80.1259318962086,77.81429280197679,73.47470272640972,75.3054654707602,79.57330536169832,76.06078562564396,100.0,77.4891341861839,80.39130811139752,77.62493438904222,70.99655054248117,81.80003245384603,76.82982569602763,79.22093078899069,73.56674099193434
Mansaka,77.5409508922037,78.4529173813927,75.09410413525019,67.45853760467558,73.55390065032464,78.19172693241275,75.86095514724322,77.4891341861839,100.0,77.85403997771084,78.50586210243013,68.91280395243668,78.55644910178923,76.88155387690969,79.63128517608963,75.32057001859762
Pangasinan,79.50933971894462,79.26255986303117,75.95439654549992,71.90972667986904,76.70976225327318,78.66417921937396,77.25804441473613,80.39130811139752,77.85403997771084,100.0,75.8141611257839,70.19133577166744,78.95762113912332,73.60043406072047,78.02541084030015,74.57018875010323
Romblomanon,80.00120236159135,81.52441853856844,77.44411944658577,69.29058795351075,74.28288214574435,82.40126392722684,76.249649236134,77.62493438904222,78.50586210243013,75.8141611257839,100.0,68.85698091539238,81.23204070315408,77.28511684275422,83.47622971406811,72.48694627789233
Spanish,70.37530421731655,70.32187367709646,85.03023453908239,73.93132260178831,67.61149050935728,69.71637274566514,69.71103805221642,70.99655054248117,68.91280395243668,70.19133577166744,68.85698091539238,100.0,69.64866106591094,61.13999917358614,70.12874533816253,64.62511631015784
Tagalog,83.01621669212443,82.03143884108408,76.31961483452946,71.6321698920225,76.4414857536383,81.50495494153795,76.27709517669462,81.80003245384603,78.55644910178923,78.95762113912332,81.23204070315408,69.64866106591094,100.0,77.01770500867909,81.60220479478642,73.43642374769806
Tausug,74.91744673121973,76.58419068009711,66.55608203655767,62.568630393624865,72.27569707647739,77.04093225873656,71.75356758541349,76.82982569602763,76.88155387690969,73.60043406072047,77.28511684275422,61.13999917358614,77.01770500867909,100.0,77.58814263422254,70.8154556258054
Waray,82.74982266874483,84.77920271482799,76.8538385563934,70.79898482361438,76.15468262748354,83.44872553578223,76.37977917253586,79.22093078899069,79.63128517608963,78.02541084030015,83.47622971406811,70.12874533816253,81.60220479478642,77.58814263422254,100.0,72.27104648153934
Yami,73.24979382408718,73.64718517777436,69.19716080098227,65.6139994973598,71.31929407078111,72.51490467468484,79.15712753969062,73.56674099193434,75.32057001859762,74.57018875010323,72.48694627789233,64.62511631015784,73.43642374769806,70.8154556258054,72.27104648153934,100.0
